Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Compare-at price,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Gift card
Men's Tree Glider - Blizzard (Blizzard Sole),mens-tree-gliders-blizzard,"<p>Whether it’s workouts or hangouts, the Tree Glider has every phase of your day covered. Inspired by effortless ease, this elevated active style brings flow everywhere you go.</p>",Allbirds,,Shoes,"allbirds::carbon-score => 4.19, allbirds::cfId => color-mens-tree-gliders-blizzard-blizzard, allbirds::complete => true, allbirds::edition => classic, allbirds::gender => mens, allbirds::hue => white, allbirds::master => mens-tree-gliders, allbirds::material => tree, allbirds::price-tier => msrp, allbirds::silhouette => dasher, loop::returnable => true, shoprunner, YCRF_mens-perform-shoes, YGroup_ygroup_mens-tree-gliders",TRUE,active,A11072M080,,Size,8,,,,,140.00,,shopify,100,DENY,720,g,TRUE,manual,https://cdn.shopify.com/s/files/1/1104/4168/files/A11072_24Q3_Tree_Glider_Blizzard_Blizzard_PDP_LEFT-1000x1000_0a5aae11-c5af-4904-ac8e-ab9875354ab0.png?v=1751058927,1,Men's Tree Glider - Blizzard (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard,,,,,,TRUE,active,A11072M085,,,8.5,,,,,140.00,,shopify,100,DENY,741,g,TRUE,manual,https://cdn.shopify.com/s/files/1/1104/4168/files/A11072_24Q3_Tree_Glider_Blizzard_Blizzard_PDP_BACK-1000x1000_8b142d2d-0231-4fc3-8675-ff68dcee21d2.png?v=1751058927,2,Men's Tree Glider - Blizzard (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard,,,,,,TRUE,active,A11072M090,,,9,,,,,140.00,,shopify,100,DENY,764,g,TRUE,manual,https://cdn.shopify.com/s/files/1/1104/4168/files/A11072_24Q3_Tree_Glider_Blizzard_Blizzard_PDP_TD-1000x1000_9e644d38-fbda-4fc5-bf60-03e7b4f3cec5.png?v=1751058927,3,Men's Tree Glider - Blizzard (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard,,,,,,TRUE,active,A11072M095,,,9.5,,,,,140.00,,shopify,100,DENY,787,g,TRUE,manual,https://cdn.shopify.com/s/files/1/1104/4168/files/A11072_24Q3_Tree_Glider_Blizzard_Blizzard_PDP_SOLE-1000x1000_3b7ffe19-5162-49e7-8647-753091c9cc1b.png?v=1751058927,4,Men's Tree Glider - Blizzard (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard,,,,,,TRUE,active,A11072M100,,,10,,,,,140.00,,shopify,100,DENY,806,g,TRUE,manual,https://cdn.shopify.com/s/files/1/1104/4168/files/A11072_24Q2_Tree-Glider-Blizzard-Blizzard_PDP_PAIR_3Q.png?v=1751058927,5,Men's Tree Glider - Blizzard (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard,,,,,,TRUE,active,A11072M105,,,10.5,,,,,140.00,,shopify,100,DENY,846,g,TRUE,manual,,,Men's Tree Glider - Blizzard (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard,,,,,,TRUE,active,A11072M110,,,11,,,,,140.00,,shopify,100,DENY,866,g,TRUE,manual,,,Men's Tree Glider - Blizzard (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard,,,,,,TRUE,active,A11072M115,,,11.5,,,,,140.00,,shopify,100,DENY,881,g,TRUE,manual,,,Men's Tree Glider - Blizzard (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard,,,,,,TRUE,active,A11072M120,,,12,,,,,140.00,,shopify,100,DENY,890,g,TRUE,manual,,,Men's Tree Glider - Blizzard (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard,,,,,,TRUE,active,A11072M125,,,12.5,,,,,140.00,,shopify,100,DENY,926,g,TRUE,manual,,,Men's Tree Glider - Blizzard (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard,,,,,,TRUE,active,A11072M130,,,13,,,,,140.00,,shopify,100,DENY,946,g,TRUE,manual,,,Men's Tree Glider - Blizzard (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard,,,,,,TRUE,active,A11072M135,,,13.5,,,,,140.00,,shopify,100,DENY,960,g,TRUE,manual,,,Men's Tree Glider - Blizzard (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard,,,,,,TRUE,active,A11072M140,,,14,,,,,140.00,,shopify,100,DENY,972,g,TRUE,manual,,,Men's Tree Glider - Blizzard (Blizzard Sole),FALSE
Men's Tree Glider - Blizzard/Bold Red (Blizzard Sole),mens-tree-gliders-blizzard-bold-red,"<p>Whether it’s workouts or hangouts, the Tree Glider has every phase of your day covered. Inspired by effortless ease, this elevated active style brings flow everywhere you go.</p>",Allbirds,,Shoes,"allbirds::carbon-score => 4.19, allbirds::cfId => color-mens-tree-gliders-blizzard-bold-red-blzz, allbirds::complete => true, allbirds::edition => limited, allbirds::gender => mens, allbirds::hue => red, allbirds::hue => white, allbirds::master => mens-tree-gliders, allbirds::material => tree, allbirds::price-tier => tier-2, allbirds::silhouette => dasher, loop::returnable => true, shoprunner, YCRF_mens-perform-shoes, YGroup_ygroup_mens-tree-gliders",TRUE,active,A11460M080,,Size,8,,,,,98.00,140.00,shopify,100,DENY,720,g,TRUE,manual,https://cdn.shopify.com/s/files/1/1104/4168/files/A11474_25Q1_Tree_Glider_Blizzard_Bold_Red_Blizzard_PDP_LEFT-2000x2000.png?v=1751050357,1,Men's Tree Glider - Blizzard/Bold Red (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard-bold-red,,,,,,TRUE,active,A11460M085,,,8.5,,,,,98.00,140.00,shopify,100,DENY,741,g,TRUE,manual,https://cdn.shopify.com/s/files/1/1104/4168/files/A11474_25Q1_Tree_Glider_Blizzard_Bold_Red_Blizzard_PDP_BACK-2000x2000.png?v=1751050357,2,Men's Tree Glider - Blizzard/Bold Red (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard-bold-red,,,,,,TRUE,active,A11460M090,,,9,,,,,98.00,140.00,shopify,100,DENY,764,g,TRUE,manual,https://cdn.shopify.com/s/files/1/1104/4168/files/A11474_25Q1_Tree_Glider_Blizzard_Bold_Red_Blizzard_PDP_TD-2000x2000.png?v=1751050357,3,Men's Tree Glider - Blizzard/Bold Red (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard-bold-red,,,,,,TRUE,active,A11460M095,,,9.5,,,,,98.00,140.00,shopify,100,DENY,787,g,TRUE,manual,https://cdn.shopify.com/s/files/1/1104/4168/files/A11474_25Q1_Tree_Glider_Blizzard_Bold_Red_Blizzard_PDP_SOLE-2000x2000.png?v=1751050357,4,Men's Tree Glider - Blizzard/Bold Red (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard-bold-red,,,,,,TRUE,active,A11460M100,,,10,,,,,98.00,140.00,shopify,100,DENY,806,g,TRUE,manual,https://cdn.shopify.com/s/files/1/1104/4168/files/A11474_25Q1_Tree_Glider_Blizzard_Bold_Red_Blizzard_PDP_PAIR_3Q-2000x2000.png?v=1751050357,5,Men's Tree Glider - Blizzard/Bold Red (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard-bold-red,,,,,,TRUE,active,A11460M105,,,10.5,,,,,98.00,140.00,shopify,100,DENY,846,g,TRUE,manual,,,Men's Tree Glider - Blizzard/Bold Red (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard-bold-red,,,,,,TRUE,active,A11460M110,,,11,,,,,98.00,140.00,shopify,100,DENY,866,g,TRUE,manual,,,Men's Tree Glider - Blizzard/Bold Red (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard-bold-red,,,,,,TRUE,active,A11460M115,,,11.5,,,,,98.00,140.00,shopify,100,DENY,881,g,TRUE,manual,,,Men's Tree Glider - Blizzard/Bold Red (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard-bold-red,,,,,,TRUE,active,A11460M120,,,12,,,,,98.00,140.00,shopify,100,DENY,890,g,TRUE,manual,,,Men's Tree Glider - Blizzard/Bold Red (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard-bold-red,,,,,,TRUE,active,A11460M125,,,12.5,,,,,98.00,140.00,shopify,100,DENY,926,g,TRUE,manual,,,Men's Tree Glider - Blizzard/Bold Red (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard-bold-red,,,,,,TRUE,active,A11460M130,,,13,,,,,98.00,140.00,shopify,100,DENY,946,g,TRUE,manual,,,Men's Tree Glider - Blizzard/Bold Red (Blizzard Sole),FALSE
,mens-tree-gliders-blizzard-bold-red,,,,,,TRUE,active,A11460M135,,,13.5,,,,,98.00,140.00,shopify,100,DENY,960,g,TRUE,manual,,,Men's Tree Glider - Blizzard/Bold Red (Blizzard Sole),FALSE
